X= 76, Y=108, crit= 21, vga_plot=1
X= 23, Y= 87, crit= 21, vga_plot=1
X= 44, Y=108, crit= 21, vga_plot=1
X= 23, Y= 55, crit= 21, vga_plot=1
X= 44, Y= 34, crit= 21, vga_plot=1
X= 97, Y= 55, crit= 21, vga_plot=1
X= 76, Y= 34, crit= 21, vga_plot=1
X= 96, Y= 88, crit=-16, vga_plot=1
X= 77, Y=107, crit=-16, vga_plot=1
X= 24, Y= 88, crit=-16, vga_plot=1
X= 43, Y=107, crit=-16, vga_plot=1
X= 24, Y= 54, crit=-16, vga_plot=1
X= 43, Y= 35, crit=-16, vga_plot=1
X= 96, Y= 54, crit=-16, vga_plot=1
X= 77, Y= 35, crit=-16, vga_plot=1
X= 96, Y= 89, crit= 21, vga_plot=1
X= 78, Y=107, crit= 21, vga_plot=1
X= 24, Y= 89, crit= 21, vga_plot=1
X= 42, Y=107, crit= 21, vga_plot=1
X= 24, Y= 53, crit= 21, vga_plot=1
X= 42, Y= 35, crit= 21, vga_plot=1
X= 96, Y= 53, crit= 21, vga_plot=1
X= 78, Y= 35, crit= 21, vga_plot=1
X= 95, Y= 90, crit=-10, vga_plot=1
X= 79, Y=106, crit=-10, vga_plot=1
X= 25, Y= 90, crit=-10, vga_plot=1
X= 41, Y=106, crit=-10, vga_plot=1
X= 25, Y= 52, crit=-10, vga_plot=1
X= 41, Y= 36, crit=-10, vga_plot=1
X= 95, Y= 52, crit=-10, vga_plot=1
X= 79, Y= 36, crit=-10, vga_plot=1
X= 95, Y= 91, crit= 31, vga_plot=1
X= 80, Y=106, crit= 31, vga_plot=1
X= 25, Y= 91, crit= 31, vga_plot=1
X= 40, Y=106, crit= 31, vga_plot=1
X= 25, Y= 51, crit= 31, vga_plot=1
X= 40, Y= 36, crit= 31, vga_plot=1
X= 95, Y= 51, crit= 31, vga_plot=1
X= 80, Y= 36, crit= 31, vga_plot=1
X= 94, Y= 92, crit=  6, vga_plot=1
X= 81, Y=105, crit=  6, vga_plot=1
X= 26, Y= 92, crit=  6, vga_plot=1
X= 39, Y=105, crit=  6, vga_plot=1
X= 26, Y= 50, crit=  6, vga_plot=1
X= 39, Y= 37, crit=  6, vga_plot=1
X= 94, Y= 50, crit=  6, vga_plot=1
X= 81, Y= 37, crit=  6, vga_plot=1
X= 93, Y= 93, crit=-15, vga_plot=1
X= 82, Y=104, crit=-15, vga_plot=1
X= 27, Y= 93, crit=-15, vga_plot=1
X= 38, Y=104, crit=-15, vga_plot=1
X= 27, Y= 49, crit=-15, vga_plot=1
X= 38, Y= 38, crit=-15, vga_plot=1
X= 93, Y= 49, crit=-15, vga_plot=1
X= 82, Y= 38, crit=-15, vga_plot=1
X= 93, Y= 94, crit= 32, vga_plot=1
X= 83, Y=104, crit= 32, vga_plot=1
X= 27, Y= 94, crit= 32, vga_plot=1
X= 37, Y=104, crit= 32, vga_plot=1
X= 27, Y= 48, crit= 32, vga_plot=1
X= 37, Y= 38, crit= 32, vga_plot=1
X= 93, Y= 48, crit= 32, vga_plot=1
X= 83, Y= 38, crit= 32, vga_plot=1
X= 92, Y= 95, crit= 17, vga_plot=1
X= 84, Y=103, crit= 17, vga_plot=1
X= 28, Y= 95, crit= 17, vga_plot=1
X= 36, Y=103, crit= 17, vga_plot=1
X= 28, Y= 47, crit= 17, vga_plot=1
X= 36, Y= 39, crit= 17, vga_plot=1
X= 92, Y= 47, crit= 17, vga_plot=1
X= 84, Y= 39, crit= 17, vga_plot=1
X= 91, Y= 96, crit=  6, vga_plot=1
X= 85, Y=102, crit=  6, vga_plot=1
X= 29, Y= 96, crit=  6, vga_plot=1
X= 35, Y=102, crit=  6, vga_plot=1
X= 29, Y= 46, crit=  6, vga_plot=1
X= 35, Y= 40, crit=  6, vga_plot=1
X= 91, Y= 46, crit=  6, vga_plot=1
X= 85, Y= 40, crit=  6, vga_plot=1
X= 90, Y= 97, crit= -1, vga_plot=1
X= 86, Y=101, crit= -1, vga_plot=1
X= 30, Y= 97, crit= -1, vga_plot=1
X= 34, Y=101, crit= -1, vga_plot=1
X= 30, Y= 45, crit= -1, vga_plot=1
